date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2020-05-13,13.1,5.39,4.65,-3.8,,-8,62,34.8,40,18,-8.1,-10.3,-10.1,-12,30,14.75,18.5,7,47,30,102.2,101.92,101.9,101.6,101.23,100.98,100.97,100.7,48300,39225,36200,24100,,,,,13.3,0,0,0,0,0,,,,05:12:00,20:10:00,14.97,5.2,20.17,7,7,11,12,-1,-1,,,,,,8,1.9,4,0,,,,
2020-05-12,9.1,3.69,3.25,-2.6,,-4,93,50.7,56.5,20,1.1,-7.3,-6,-13.1,21,11.08,13,5,44,30,101.6,101.2,101.3,101,100.66,100.27,100.35,100.04,48300,33866.7,25750,3200,,,,,14.8,0,0,0,0,1.4,,,,05:13:00,20:09:00,14.93,5.22,20.15,6,6,7,8,-3,-3,,,,,,8,5.5,4,0,,,,
2020-05-11,13.1,7.06,7.2,1.3,,,77,52.4,58,39,1.4,-2.3,-1.6,-4.6,25,16.46,15,5,32,20,101.1,100.94,100.95,100.8,100.18,100.01,100.03,99.89,48300,39562.5,36200,24100,,,,,10.8,0,2.2,0.2,0,1.7,,,,05:15:00,20:08:00,14.88,5.25,20.13,6,7,11,11,1,1,,,,,,8,5.8,5.5,3,,,,
2020-05-10,8.7,3.85,4.19,-0.3,,-6,58,49.4,49.5,41,-2.9,-5.9,-6.3,-9.7,41,27.54,29.5,18,57,25,100.8,100.63,100.65,100.5,99.86,99.7,99.71,99.55,48300,36195.8,36200,24100,,,,,13.8,0,0,0,0,0,,,,05:16:00,20:06:00,14.83,5.27,20.1,5,5,8,8,1,1,,,,,,8,7.4,7,6,,,,
2020-05-09,6.1,2.42,3,-0.1,,-1,87,50,60,33,-2.9,-7.3,-6.2,-9.6,32,15.67,16.5,1,47,30,100.5,100.15,100.2,99.9,99.62,99.24,99.28,98.95,48300,34325,33800,19300,,,,,15,0,0,0,0,0,,,,05:17:00,20:05:00,14.8,5.28,20.08,4,6,4,4,0,0,,,,,,8,7.4,5,2,,,,
2020-05-08,8.2,3.09,3.34,-1.5,,-6,92,64.5,62,32,1.7,-3.8,-3.2,-8.1,34,18.17,18,2,42,22,100.6,100.44,100.35,100.1,99.72,99.52,99.47,99.22,48300,34069.6,27350,6400,,,,,14.7,0,0,0,0,0.5,,,,05:19:00,20:04:00,14.75,5.32,20.07,6,6,7,7,-1,-1,,,,,,8,4.9,5,2,,,,
2020-05-07,15.7,8.63,8.25,0.8,,,73,38.7,48,23,1.9,-5.7,-3.6,-9.1,25,10.79,13,1,37,26,100.9,100.46,100.55,100.2,99.97,99.54,99.61,99.24,48300,38483.3,35400,22500,,,,,9.8,0,3.2,1.2,0,2.3,,,,05:20:00,20:03:00,14.72,5.33,20.05,7,7,12,13,-1,0,,,,,,8,3.4,4,0,,,,
2020-05-06,14.1,7.52,6.35,-1.4,,-2,97,50.8,59.5,22,0.9,-4.1,-4,-9,21,8.12,11,1,48,31,101.4,101.14,101.15,100.9,100.48,100.21,100.22,99.95,48300,38216.7,36200,24100,,,,,11.7,0,1.4,0,0,0,,,,05:22:00,20:01:00,14.65,5.37,20.02,7,7,13,14,-4,-4,,,,,,6,2.9,3.5,1,,,,
2020-05-05,9.4,5.36,4.7,0,,,94,78.1,77,60,4.6,1.7,2,-0.7,20,8.5,11,2,,,101.5,101.13,101.15,100.8,100.54,100.19,100.22,99.89,48300,34183.3,36200,24100,,,,,13.3,0,0,0,0,0.9,,,,05:23:00,20:00:00,14.62,5.38,20,5,6,8,9,-2,-2,,,,,,8,7,6.5,5,,,,
2020-05-04,9.6,7.33,6.6,3.6,,,98,78.9,79,60,6.8,3.7,3.5,0.2,17,8.46,10,3,35,34,100.8,100.43,100.5,100.2,99.91,99.51,99.59,99.26,48300,24433.3,24950,1600,,,,,11.4,0,1.6,0,0,0.3,,,,05:25:00,19:59:00,14.57,5.42,19.98,4,4,10,10,2,2,,,,,,8,7.9,7.5,7,,,,
